,performer,song_performer,song,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,rank,last_week,peak_rank,weeks_on_board,key_signature,year,top_hit_pos
10667,Linkin Park,The Catalyst | Linkin Park,The Catalyst,339.853,0.56,0.925,C,-5.48,major,0.0362,0.0372,0.0,0.104,0.178,135.009,4.0,93,65.0,27,9,C major,2010,0.0
10668,Mumford & Sons,The Cave | Mumford & Sons,The Cave,217.986,0.595,0.506,E,-9.682,major,0.0388,0.0464,0.000138,0.107,0.346,141.981,4.0,91,84.0,27,20,E major,2011,0.0
10669,Dexys Midnight Runners,The Celtic Soul Brothers | Dexys Midnight Runners,The Celtic Soul Brothers,167.6,0.465,0.744,E,-8.74,minor,0.067,0.292,2.32e-06,0.345,0.728,192.286,4.0,98,86.0,86,4,E minor,1983,0.0
10670,Clay Walker,The Chain Of Love | Clay Walker,The Chain Of Love,304.506,0.533,0.315,D,-14.349,major,0.0308,0.235,1.19e-05,0.0939,0.316,140.918,4.0,95,94.0,40,20,D major,2000,0.0
10671,Adam Sandler,The Chanukah Song | Adam Sandler,The Chanukah Song,223.946,0.356,0.503,A,-8.937,major,0.0734,0.766,2.51e-06,0.871,0.331,88.816,4.0,98,80.0,80,2,A major,1999,0.0
10672,Ernie Fields,The Charleston | Ernie Fields,The Charleston,136.413,0.766,0.662,C,-12.597,minor,0.0683,0.157,0.888,0.055,0.964,95.175,4.0,63,47.0,47,10,C minor,1961,0.0
10673,Bob Kuban And The In-Men,The Cheater | Bob Kuban And The In-Men,The Cheater,159.666,0.651,0.66,D#,-7.452,minor,0.0772,0.692,1.96e-06,0.112,0.886,135.014,4.0,47,31.0,12,11,D# minor,1966,0.0
10674,Bush,The Chemicals Between Us | Bush,The Chemicals Between Us,217.493,0.512,0.958,G,-3.979,major,0.16,0.00317,0.0403,0.295,0.39,97.715,4.0,93,89.0,67,20,G major,2000,0.0
10675,Qkumba Zoo,The Child (Inside) | Qkumba Zoo,The Child (Inside),241.506,0.694,0.923,E,-7.428,major,0.0382,0.185,0.00187,0.318,0.849,127.144,4.0,98,91.0,69,7,E major,1996,0.0
10676,The O'Jays,The Choice | The O'Jays,The Choice,159.906,0.581,0.558,A#,-9.35,minor,0.049,0.771,0.0,0.181,0.71,118.69,4.0,94,96.0,94,3,A# minor,1968,0.0
10677,Joe Simon,The Chokin' Kind | Joe Simon,The Chokin' Kind,160.28,0.69,0.506,G#,-12.531,major,0.0556,0.496,0.00304,0.0883,0.848,98.781,4.0,28,25.0,13,12,G# major,1969,0.0
10678,NewSong,The Christmas Shoes | NewSong,The Christmas Shoes,291.2,0.438,0.386,E,-10.024,major,0.034,0.689,0.0,0.113,0.281,131.926,4.0,42,68.0,42,2,E major,2001,0.0
10679,The Pastel Six,The Cinnamon Cinder (It's A Very Nice Dance) | The Pastel Six,The Cinnamon Cinder (It's A Very Nice Dance),119.44,0.588,0.402,G,-12.619,major,0.0379,0.0211,0.0709,0.148,0.763,72.617,4.0,48,41.0,25,10,G major,1963,0.0
10680,Arlo Guthrie,The City Of New Orleans | Arlo Guthrie,The City Of New Orleans,274.506,0.616,0.577,C#,-8.834,major,0.0407,0.535,0.0,0.0808,0.592,145.863,4.0,43,23.0,18,16,C# major,1972,0.0
10681,J. Cole,The Climb Back | J. Cole,The Climb Back,70.556,0.79,0.588,C,-8.265,major,0.888,0.0641,0.0,0.168,0.963,150.507,4.0,52,100.0,52,2,C major,2020,0.0
10682,The Kingsmen,The Climb | The Kingsmen,The Climb,152.764,0.445,0.791,F,-9.378,major,0.0471,0.198,2.33e-06,0.941,0.712,130.53,4.0,81,65.0,65,6,F major,1965,0.0
10683,Alabama,The Closer You Get | Alabama,The Closer You Get,271.866,0.756,0.417,G,-14.943,major,0.0309,0.178,1.8e-06,0.123,0.831,113.996,4.0,100,91.0,38,11,G major,1983,0.0
10684,The Spacemen,The Clouds | The Spacemen,The Clouds,168.773,0.771,0.581,G#,-11.339,major,0.0374,0.116,0.839,0.124,0.88,104.457,4.0,98,50.0,41,14,G# major,1960,0.0
10685,The Chi-lites,The Coldest Days Of My Life (Part 1) | The Chi-lites,The Coldest Days Of My Life (Part 1),260.813,0.2,0.389,B,-16.712,minor,0.0427,0.259,0.00958,0.417,0.19,128.871,4.0,50,47.0,47,9,B minor,1972,0.0
10686,Billy Ocean,The Colour Of Love | Billy Ocean,The Colour Of Love,261.586,0.544,0.616,A#,-7.988,major,0.0282,0.468,0.0,0.118,0.443,82.972,4.0,90,78.0,17,16,A# major,1988,0.0
10687,Jefferson,The Colour Of My Love | Jefferson,The Colour Of My Love,153.453,0.411,0.589,A,-7.681,major,0.0354,0.418,7.43e-05,0.145,0.656,120.43,4.0,71,68.0,68,9,A major,1969,0.0
10688,Claude King,The Comancheros | Claude King,The Comancheros,133.893,0.623,0.443,D#,-12.175,major,0.0444,0.861,0.0,0.192,0.961,77.615,4.0,71,79.0,71,6,D# major,1961,0.0
10689,Hank Ballard And The Midnighters,The Continental Walk | Hank Ballard And The Midnighters,The Continental Walk,222.733,0.722,0.454,C#,-10.849,major,0.0527,0.633,1.47e-05,0.174,0.82,111.292,3.0,49,33.0,33,8,C# major,1961,0.0
10690,The Rollers,The Continental Walk | The Rollers,The Continental Walk,143.626,0.603,0.732,C,-5.647,major,0.0372,0.807,0.0,0.0993,0.802,105.425,3.0,87,80.0,80,3,C major,1961,0.0
10691,Dr. Hook And The Medicine Show,"The Cover Of ""Rolling Stone"" | Dr. Hook And The Medicine Show","The Cover Of ""Rolling Stone""",172.093,0.648,0.472,A,-13.103,major,0.102,0.357,0.0,0.313,0.907,142.184,4.0,25,21.0,6,20,A major,1973,0.0
10692,John Denver,The Cowboy And The Lady | John Denver,The Cowboy And The Lady,277.546,0.603,0.463,E,-12.578,major,0.035,0.354,3.46e-06,0.0839,0.649,129.773,4.0,98,78.0,66,7,E major,1981,0.0
10693,Tim McGraw,The Cowboy In Me | Tim McGraw,The Cowboy In Me,244.506,0.488,0.569,D,-7.323,major,0.0294,0.076,1.06e-06,0.0796,0.153,71.92,4.0,87,78.0,33,20,D major,2002,0.0
10694,Roy Orbison,The Crowd | Roy Orbison,The Crowd,187.88,0.213,0.2,G#,-10.756,major,0.0296,0.806,0.00422,0.0988,0.137,89.662,4.0,58,37.0,26,10,G# major,1962,0.0
10695,Jerry Reed,The Crude Oil Blues | Jerry Reed,The Crude Oil Blues,153.293,0.704,0.753,E,-12.507,major,0.0928,0.284,0.00454,0.0826,0.96,170.045,4.0,100,91.0,91,5,E major,1974,0.0
10696,The Novas,The Crusher | The Novas,The Crusher,118.52,0.467,0.769,D,-12.719,major,0.0734,0.118,1.09e-05,0.212,0.802,129.124,4.0,88,88.0,88,3,D major,1965,0.0
10697,Ricky Martin,"The Cup Of Life (The Official Song Of The World Cup, France '98) | Ricky Martin","The Cup Of Life (The Official Song Of The World Cup, France '98)",279.92,0.709,0.911,F,-6.945,minor,0.0433,0.0387,0.000132,0.391,0.661,126.984,4.0,97,97.0,45,34,F minor,1999,0.0
10698,Jump 'n The Saddle,The Curly Shuffle | Jump 'n The Saddle,The Curly Shuffle,174.706,0.632,0.484,A,-11.772,major,0.104,0.156,0.0,0.153,0.873,80.687,4.0,99,78.0,15,14,A major,1984,0.0
10699,Simon & Garfunkel,The Dangling Conversation | Simon & Garfunkel,The Dangling Conversation,158.773,0.437,0.284,A#,-13.116,major,0.0316,0.683,1.42e-06,0.115,0.322,91.719,4.0,32,25.0,25,7,A# major,1966,0.0
10700,James Carr,The Dark End Of The Street | James Carr,The Dark End Of The Street,153.986,0.522,0.397,G,-8.491,major,0.027,0.799,0.0366,0.11,0.356,75.572,4.0,77,78.0,77,6,G major,1967,0.0
10701,The Spokesmen,The Dawn Of Correction | The Spokesmen,The Dawn Of Correction,203.0,0.41,0.639,G,-10.755,major,0.039,0.239,0.0,0.573,0.606,116.102,4.0,64,40.0,36,7,G major,1965,0.0
10702,Metallica,The Day That Never Comes | Metallica,The Day That Never Comes,476.266,0.334,0.986,E,-1.046,minor,0.0576,0.000114,0.0353,0.0805,0.48,124.668,4.0,95,92.0,31,10,E minor,2008,0.0
10703,Wade Hayes,The Day That She Left Tulsa (In A Chevy) | Wade Hayes,The Day That She Left Tulsa (In A Chevy),213.066,0.473,0.431,G#,-9.399,major,0.0288,0.0203,6.62e-05,0.311,0.106,68.28,4.0,97,92.0,86,5,G# major,1998,0.0
10704,Jane Morgan,The Day The Rains Came | Jane Morgan,The Day The Rains Came,180.013,0.457,0.331,A#,-12.372,major,0.0306,0.722,0.0,0.274,0.536,108.616,4.0,90,47.0,21,15,A# major,1958,0.0
10705,Bobby Vinton,The Days Of Sand And Shovels | Bobby Vinton,The Days Of Sand And Shovels,224.933,0.357,0.324,E,-13.476,major,0.0285,0.579,0.0,0.144,0.19,89.907,4.0,49,48.0,34,8,E major,1969,0.0
10706,Midnight Oil,The Dead Heart | Midnight Oil,The Dead Heart,311.026,0.637,0.759,G,-11.004,major,0.0295,0.0282,0.000386,0.0621,0.686,136.223,4.0,92,64.0,53,10,G major,1988,0.0
10707,Whitesnake,The Deeper The Love | Whitesnake,The Deeper The Love,259.901,0.537,0.662,A,-7.52,major,0.0286,0.000611,1.43e-06,0.0863,0.471,104.977,4.0,98,76.0,28,14,A major,1990,0.0
10708,K.M.C. KRU,The Devil Came Up To Michigan | K.M.C. KRU,The Devil Came Up To Michigan,226.933,0.86,0.636,D,-15.511,major,0.145,0.172,4.9e-05,0.368,0.842,128.012,4.0,100,100.0,46,14,D major,1991,0.0
10709,Golden Earring,The Devil Made Me Do It | Golden Earring,The Devil Made Me Do It,205.733,0.439,0.874,A,-6.545,major,0.0523,0.315,0.0,0.39,0.829,174.324,4.0,100,79.0,79,4,A major,1983,0.0
10710,The Charlie Daniels Band,The Devil Went Down To Georgia | The Charlie Daniels Band,The Devil Went Down To Georgia,215.066,0.517,0.535,C,-12.027,major,0.0494,0.131,0.0,0.085,0.933,135.087,4.0,97,62.0,3,18,C major,1979,0.0
10711,Neil Sedaka,The Diary | Neil Sedaka,The Diary,135.84,0.379,0.347,A#,-12.786,major,0.0352,0.826,0.0,0.249,0.691,117.647,3.0,73,71.0,14,15,A# major,1959,0.0
10712,Peter Schilling,The Different Story (World Of Lust And Crime) | Peter Schilling,The Different Story (World Of Lust And Crime),232.773,0.629,0.731,E,-10.427,minor,0.0279,0.153,0.00747,0.325,0.869,119.439,4.0,92,81.0,61,10,E minor,1989,0.0
10713,Mary Wells,The Doctor | Mary Wells,The Doctor,140.026,0.791,0.379,B,-11.407,major,0.0852,0.893,0.00227,0.372,0.798,105.944,4.0,68,65.0,65,8,B major,1968,0.0
10714,Rufus Thomas,The Dog | Rufus Thomas,The Dog,158.089,0.803,0.494,G#,-9.033,major,0.0326,0.711,0.000561,0.0623,0.774,115.771,4.0,94,95.0,87,8,G# major,1963,0.0
10715,Frankie Miller,The Doodle Song | Frankie Miller,The Doodle Song,166.027,0.732,0.666,C,-8.719,major,0.0317,0.177,0.00402,0.12,0.967,122.298,4.0,100,100.0,71,5,C major,1977,0.0
10716,Dean Martin,The Door Is Still Open To My Heart | Dean Martin,The Door Is Still Open To My Heart,171.986,0.236,0.429,D#,-13.576,major,0.0467,0.702,0.000106,0.0696,0.356,84.686,4.0,35,23.0,6,11,D# major,1964,0.0
10717,Billy Joel,"The Downeaster ""Alexa"" | Billy Joel","The Downeaster ""Alexa""",223.266,0.457,0.808,A,-5.914,minor,0.0349,0.11,0.0,0.127,0.681,89.893,4.0,87,77.0,57,8,A minor,1990,0.0
10718,Neil Sedaka,The Dreamer | Neil Sedaka,The Dreamer,190.2,0.594,0.771,B,-7.391,major,0.0448,0.255,0.0,0.409,0.884,128.405,4.0,60,57.0,47,7,B major,1963,0.0
10719,Bobby Sherman,The Drum | Bobby Sherman,The Drum,140.0,0.412,0.648,D,-10.788,major,0.0678,0.851,3.2e-06,0.729,0.875,173.851,4.0,41,36.0,29,8,D major,1971,0.0
10720,Jackie Lee,The Duck | Jackie Lee,The Duck,142.593,0.737,0.614,C#,-7.261,major,0.0361,0.138,0.000271,0.0856,0.869,132.808,4.0,42,21.0,14,14,C# major,1966,0.0
10721,Color Me Badd,"The Earth, The Sun, The Rain | Color Me Badd","The Earth, The Sun, The Rain",255.233,0.29,0.515,A,-9.42,major,0.0865,0.63,0.0,0.084,0.28,77.213,4.0,45,42.0,21,22,A major,1996,0.0
10722,Wham!,The Edge Of Heaven | Wham!,The Edge Of Heaven,270.8,0.493,0.665,A,-13.817,minor,0.0424,0.117,0.0,0.159,0.877,152.644,4.0,98,70.0,10,13,A minor,1986,0.0
10723,Elvis Presley,The Elvis Medley | Elvis Presley,The Elvis Medley,132.106,0.609,0.889,D,-7.318,major,0.0528,0.546,2.45e-06,0.699,0.786,100.282,4.0,92,71.0,71,7,D major,1983,0.0
10724,Sinead O'Connor,The Emperor's New Clothes | Sinead O'Connor,The Emperor's New Clothes,316.493,0.736,0.711,D#,-7.623,minor,0.0503,0.0182,0.000798,0.158,0.709,123.165,4.0,96,88.0,60,9,D# minor,1990,0.0
10725,The Islanders,The Enchanted Sea | The Islanders,The Enchanted Sea,124.081,0.472,0.399,A,-14.228,minor,0.0404,0.711,0.919,0.464,0.353,127.681,3.0,79,53.0,15,13,A minor,1959,0.0
10726,Amazing Rhythm Aces,The End Is Not In Sight (the Cowboy Tune) | Amazing Rhythm Aces,The End Is Not In Sight (the Cowboy Tune),230.866,0.696,0.456,E,-15.175,major,0.0295,0.418,0.000637,0.12,0.92,130.468,4.0,46,42.0,42,10,E major,1976,0.0
10727,Skeeter Davis,The End Of The World | Skeeter Davis,The End Of The World,157.573,0.232,0.216,A#,-10.674,major,0.0314,0.936,4.93e-06,0.246,0.432,94.268,3.0,63,32.0,2,17,A# major,1963,0.0
10728,Billy Joel,The Entertainer | Billy Joel,The Entertainer,221.04,0.611,0.912,C,-6.775,major,0.0398,0.105,0.0,0.117,0.77,101.307,4.0,45,35.0,34,10,C major,1975,0.0
10729,B.J. Thomas,The Eyes Of A New York Woman | B.J. Thomas,The Eyes Of A New York Woman,183.24,0.416,0.329,A,-14.984,major,0.0322,0.0487,0.0,0.461,0.421,135.323,4.0,41,28.0,28,14,A major,1968,0.0
10730,Felony,The Fanatic | Felony,The Fanatic,216.711,0.471,0.602,G,-12.614,major,0.0655,0.0218,0.00721,0.0596,0.715,176.001,4.0,97,75.0,42,12,G major,1983,0.0
10731,Perry Como,The Father Of Girls | Perry Como,The Father Of Girls,215.573,0.157,0.146,F,-15.674,minor,0.0364,0.891,0.00526,0.156,0.159,79.469,4.0,92,92.0,92,2,F minor,1968,0.0
10732,Lily Allen,The Fear | Lily Allen,The Fear,207.12,0.661,0.847,A#,-6.948,major,0.0404,0.419,8.82e-05,0.107,0.522,134.002,4.0,96,88.0,80,10,A# major,2009,0.0
10733,Clarence Carter,The Feeling Is Right | Clarence Carter,The Feeling Is Right,175.066,0.612,0.389,A#,-13.696,major,0.0279,0.281,0.0,0.153,0.909,91.852,4.0,65,65.0,65,6,A# major,1969,0.0
10734,The Everly Brothers,The Ferris Wheel | The Everly Brothers,The Ferris Wheel,138.28,0.635,0.463,D,-12.157,major,0.0286,0.74,0.0,0.208,0.616,97.073,4.0,72,73.0,72,6,D major,1964,0.0
10735,Gym Class Heroes Featuring Ryan Tedder,The Fighter | Gym Class Heroes Featuring Ryan Tedder,The Fighter,228.533,0.592,0.926,G,-3.469,major,0.126,0.0775,0.0,0.187,0.432,99.018,4.0,88,81.0,25,15,G major,2012,0.0
10736,Europe,The Final Countdown | Europe,The Final Countdown,310.333,0.536,0.844,F#,-6.918,minor,0.058,0.0628,0.00084,0.0608,0.185,117.652,4.0,99,76.0,8,18,F# minor,1987,0.0
10737,Rod Stewart,The First Cut Is The Deepest | Rod Stewart,The First Cut Is The Deepest,271.2,0.546,0.627,C,-9.037,major,0.0244,0.316,0.00114,0.096,0.764,81.278,4.0,56,22.0,21,12,C major,1977,0.0
10738,Tony Carey,The First Day Of Summer | Tony Carey,The First Day Of Summer,225.0,0.768,0.823,D,-9.405,minor,0.0294,0.0972,0.000361,0.529,0.956,116.289,4.0,97,68.0,33,11,D minor,1984,0.0
10739,Monica,The First Night | Monica,The First Night,235.573,0.671,0.766,C#,-9.218,minor,0.0634,0.139,0.0,0.26,0.906,152.088,4.0,35,23.0,1,23,C# minor,1999,1.0
10740,Jimmy Dean,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night) | Jimmy Dean,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),129.293,0.379,0.293,F,-9.546,minor,0.0295,0.83,0.0,0.0879,0.376,113.618,4.0,91,91.0,91,3,F minor,1965,0.0
10741,Roberta Flack,The First Time Ever I Saw Your Face | Roberta Flack,The First Time Ever I Saw Your Face,260.666,0.311,0.0264,C,-21.644,major,0.037,0.731,0.00205,0.156,0.139,120.653,4.0,36,18.0,1,18,C major,1972,1.0
10742,Surface,The First Time | Surface,The First Time,256.0,0.637,0.354,A#,-11.964,major,0.0283,0.215,0.000704,0.0961,0.111,126.435,4.0,100,88.0,1,25,A# major,1991,1.0
10743,Nelly Featuring Jeremih,The Fix | Nelly Featuring Jeremih,The Fix,173.045,0.812,0.479,G#,-6.47,major,0.0429,0.0485,0.0,0.102,0.0873,95.505,4.0,97,87.0,62,20,G# major,2016,0.0
10744,Cheap Trick,The Flame | Cheap Trick,The Flame,338.8,0.629,0.581,E,-11.856,major,0.027,0.513,2.06e-06,0.0755,0.359,97.074,4.0,98,83.0,1,27,E major,1988,1.0
10745,Chubby Checker,The Fly | Chubby Checker,The Fly,170.653,0.456,0.968,F,-4.916,major,0.0448,0.00494,0.00705,0.204,0.962,159.746,4.0,57,22.0,7,13,F major,1961,0.0
10746,Saga,The Flyer | Saga,The Flyer,222.8,0.513,0.673,C,-17.035,minor,0.0367,0.101,0.00773,0.326,0.796,141.631,4.0,95,79.0,79,3,C minor,1983,0.0
10747,The Four Lads,The Fountain Of Youth | The Four Lads,The Fountain Of Youth,118.36,0.374,0.344,A,-9.274,major,0.0263,0.779,0.0,0.104,0.592,97.703,4.0,90,92.0,90,2,A major,1959,0.0
10748,Ylvis,The Fox | Ylvis,The Fox,213.708,0.703,0.867,F#,-4.292,major,0.0453,0.107,0.0,0.119,0.546,128.008,4.0,75,58.0,6,18,F# major,2014,0.0
10749,Albert Hammond,The Free Electric Band | Albert Hammond,The Free Electric Band,206.706,0.567,0.782,C,-9.107,major,0.0309,0.00135,0.0,0.331,0.716,98.879,4.0,64,55.0,48,11,C major,1973,0.0
10750,Tony And Joe,The Freeze | Tony And Joe,The Freeze,136.72,0.595,0.79,G,-10.604,major,0.117,0.677,0.00535,0.103,0.914,149.457,4.0,100,76.0,33,6,G major,1958,0.0
10751,The Verve Pipe,The Freshmen | The Verve Pipe,The Freshmen,269.466,0.571,0.505,C#,-9.312,minor,0.0238,0.0757,1.04e-05,0.109,0.276,99.562,4.0,50,45.0,5,42,C# minor,1997,0.0
10752,The Goodies,The Funky Gibbon | The Goodies,The Funky Gibbon,173.387,0.745,0.905,A#,-4.727,minor,0.114,0.0842,0.00019,0.208,0.865,104.992,4.0,79,79.0,79,4,A# minor,1975,0.0
10753,Santana Featuring Michelle Branch,The Game Of Love | Santana Featuring Michelle Branch,The Game Of Love,254.466,0.59,0.929,D,-3.236,major,0.0478,0.0714,0.000153,0.0598,0.674,119.818,4.0,50,45.0,5,37,D major,2003,0.0
10754,Thompson Twins,The Gap | Thompson Twins,The Gap,286.4,0.645,0.884,F#,-10.907,minor,0.0411,0.15,4.32e-06,0.199,0.642,108.68,4.0,100,78.0,69,6,F# minor,1984,0.0
10755,Too $hort,The Ghetto | Too $hort,The Ghetto,302.133,0.947,0.354,F#,-12.844,minor,0.27,0.0455,5.71e-05,0.212,0.36,100.087,4.0,91,82.0,42,14,F# minor,1991,0.0
10756,Psychedelic Furs,The Ghost In You | Psychedelic Furs,The Ghost In You,257.76,0.589,0.529,A#,-13.548,major,0.0287,0.0855,1.29e-06,0.104,0.641,123.487,4.0,96,81.0,59,9,A# major,1984,0.0
10757,Dickey Lee,The Girl From Peyton Place | Dickey Lee,The Girl From Peyton Place,129.828,0.384,0.43,E,-6.165,major,0.029,0.742,0.0,0.312,0.434,101.612,4.0,81,73.0,73,6,E major,1965,0.0
10758,The Monkees,The Girl I Knew Somewhere | The Monkees,The Girl I Knew Somewhere,152.613,0.466,0.802,C,-8.769,major,0.035,0.0488,0.0,0.0728,0.964,175.145,4.0,48,39.0,39,5,C major,1967,0.0
10759,Brother Beyond,The Girl I Used To Know | Brother Beyond,The Girl I Used To Know,254.642,0.641,0.63,G#,-11.867,major,0.0287,0.00634,0.00118,0.0853,0.783,94.879,4.0,97,81.0,27,15,G# major,1990,0.0
10760,Frankie Valli,The Girl I'll Never Know (Angels Never Fly This Low) | Frankie Valli,The Girl I'll Never Know (Angels Never Fly This Low),222.8,0.377,0.568,C,-7.204,major,0.0269,0.531,8.73e-06,0.0891,0.648,103.979,4.0,73,55.0,52,7,C major,1969,0.0
10761,Jeannie C. Riley,The Girl Most Likely | Jeannie C. Riley,The Girl Most Likely,129.333,0.643,0.707,F,-12.41,major,0.0855,0.309,3.79e-06,0.104,0.936,188.001,4.0,61,55.0,55,6,F major,1969,0.0
10762,The Glass Bottle featuring Gary Criss,The Girl Who Loved Me When | The Glass Bottle featuring Gary Criss,The Girl Who Loved Me When,193.073,0.414,0.174,D#,-20.981,major,0.0345,0.617,0.0,0.67,0.424,81.119,4.0,87,96.0,87,2,D# major,1971,0.0
10763,The Dukays,The Girl's A Devil | The Dukays,The Girl's A Devil,149.906,0.721,0.416,G,-11.26,major,0.0377,0.772,0.0,0.228,0.916,130.678,4.0,69,64.0,64,13,G major,1961,0.0
10764,The 5th Dimension,The Girls' Song | The 5th Dimension,The Girls' Song,224.706,0.552,0.355,D,-12.446,minor,0.0299,0.52,9.61e-06,0.0687,0.483,115.161,4.0,68,44.0,43,8,D minor,1970,0.0
10765,Blanco Brown,The Git Up | Blanco Brown,The Git Up,200.593,0.847,0.678,A,-8.635,major,0.109,0.0669,0.0,0.274,0.811,97.984,4.0,53,49.0,14,20,A major,2019,0.0
10766,Sheila E.,The Glamorous Life | Sheila E.,The Glamorous Life,543.56,0.759,0.675,D#,-14.366,minor,0.0422,0.0261,0.0341,0.431,0.866,127.522,4.0,100,91.0,7,26,D# minor,1984,0.0
10767,Big Audio,The Globe | Big Audio,The Globe,364.64,0.917,0.603,D,-9.541,major,0.13,0.172,0.0,0.0489,0.696,113.951,4.0,97,87.0,72,10,D major,1992,0.0
10768,Mott The Hoople,The Golden Age Of Rock 'n' Roll | Mott The Hoople,The Golden Age Of Rock 'n' Roll,204.093,0.516,0.842,F#,-8.062,major,0.0366,0.0304,0.0,0.0722,0.718,138.245,4.0,100,96.0,96,2,F# major,1974,0.0
10769,Tony Bennett,The Good Life | Tony Bennett,The Good Life,134.893,0.182,0.261,A#,-13.707,major,0.033,0.88,1.03e-05,0.442,0.206,175.779,5.0,53,39.0,18,10,A# major,1963,0.0
10770,Gabby Barrett,The Good Ones | Gabby Barrett,The Good Ones,215.14,0.519,0.552,D,-5.023,major,0.0259,0.18,0.0,0.149,0.331,89.957,4.0,40,42.0,19,23,D major,2021,0.0
10771,Kenny Chesney,The Good Stuff | Kenny Chesney,The Good Stuff,200.44,0.612,0.62,G,-9.785,major,0.0645,0.255,0.0,0.129,0.502,143.78,4.0,57,51.0,22,20,G major,2002,0.0
10772,"Hugo Montenegro, His Orchestra And Chorus","The Good, The Bad And The Ugly | Hugo Montenegro, His Orchestra And Chorus","The Good, The Bad And The Ugly",165.693,0.531,0.648,C,-10.648,major,0.0412,0.649,0.501,0.442,0.589,116.572,4.0,43,28.0,2,22,C major,1968,0.0
10773,Cyndi Lauper,The Goonies `R' Good Enough | Cyndi Lauper,The Goonies `R' Good Enough,218.44,0.71,0.807,C#,-8.97,minor,0.0378,0.25,1.88e-05,0.0744,0.946,139.551,4.0,100,87.0,10,15,C# minor,1985,0.0
10774,Paul Revere & The Raiders Featuring Mark Lindsay,The Great Airplane Strike | Paul Revere & The Raiders Featuring Mark Lindsay,The Great Airplane Strike,189.213,0.423,0.943,D,-4.7,major,0.226,0.121,0.0,0.0557,0.876,173.499,4.0,44,36.0,20,8,D major,1966,0.0
10775,Camouflage,The Great Commandment | Camouflage,The Great Commandment,260.153,0.673,0.763,G,-11.347,major,0.0368,0.104,0.15,0.275,0.915,123.675,4.0,96,93.0,59,12,G major,1989,0.0
10776,Boys Like Girls,The Great Escape | Boys Like Girls,The Great Escape,206.52,0.423,0.94,C#,-4.012,minor,0.0635,0.00166,0.0,0.178,0.505,149.934,4.0,50,46.0,23,25,C# minor,2007,0.0
10777,Jackie Wilson,The Greatest Hurt | Jackie Wilson,The Greatest Hurt,196.08,0.388,0.359,G,-9.863,major,0.0307,0.889,0.0,0.149,0.482,79.959,3.0,57,50.0,34,9,G major,1962,0.0
10778,George Benson,The Greatest Love Of All | George Benson,The Greatest Love Of All,212.266,0.398,0.263,F,-14.447,minor,0.0303,0.505,1.52e-06,0.105,0.323,113.57,4.0,70,44.0,24,14,F minor,1977,0.0
10779,Dorsey Burnette,The Greatest Love | Dorsey Burnette,The Greatest Love,157.746,0.448,0.57,G,-13.631,major,0.0309,0.633,0.0322,0.0692,0.757,93.271,4.0,67,67.0,67,6,G major,1969,0.0
10780,Prince,The Greatest Romance Ever Sold | Prince,The Greatest Romance Ever Sold,333.226,0.844,0.449,C,-6.873,minor,0.0409,0.372,9.54e-06,0.0883,0.574,90.025,4.0,99,85.0,63,13,C minor,2000,0.0
10781,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble","The Greatest Show | Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,302.146,0.417,0.824,B,-7.36,minor,0.105,0.000239,0.0545,0.0725,0.4,157.92,4.0,95,89.0,88,4,B minor,2018,0.0
10782,Sia Featuring Kendrick Lamar,The Greatest | Sia Featuring Kendrick Lamar,The Greatest,210.226,0.668,0.725,C#,-6.127,major,0.266,0.0102,0.000479,0.0561,0.729,191.944,4.0,49,40.0,18,23,C# major,2017,0.0
10783,Dionne Warwick,The Green Grass Starts To Grow | Dionne Warwick,The Green Grass Starts To Grow,183.906,0.577,0.487,D,-11.661,major,0.0371,0.615,0.000369,0.121,0.763,77.998,4.0,63,43.0,43,9,D major,1971,0.0
10784,Kenny Ball and his Jazzmen,The Green Leaves Of Summer | Kenny Ball and his Jazzmen,The Green Leaves Of Summer,242.533,0.463,0.549,D#,-13.595,major,0.066,0.781,0.133,0.848,0.845,178.058,4.0,87,91.0,87,6,D# major,1962,0.0
10785,The Brothers Four,The Green Leaves Of Summer | The Brothers Four,The Green Leaves Of Summer,169.4,0.463,0.238,D#,-15.733,minor,0.0269,0.797,0.0,0.157,0.369,104.606,4.0,85,65.0,65,7,D# minor,1960,0.0
10786,The Tune Rockers,The Green Mosquito | The Tune Rockers,The Green Mosquito,142.08,0.639,0.847,E,-12.559,major,0.0356,0.885,0.947,0.939,0.907,130.273,4.0,100,97.0,44,10,E major,1958,0.0
10787,Heatwave,The Groove Line | Heatwave,The Groove Line,262.506,0.712,0.757,D,-10.045,major,0.0352,0.0543,0.000405,0.201,0.729,120.165,4.0,95,55.0,7,17,D major,1978,0.0
10788,Bread,The Guitar Man | Bread,The Guitar Man,225.053,0.279,0.646,E,-7.907,minor,0.0464,0.231,0.0011,0.309,0.485,142.649,4.0,36,25.0,11,10,E minor,1972,0.0
